City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
131,Puerto Carreno,6.189,-67.4859,83.55,42,70,9.53,CO,2022-02-14 01:46:41
132,Buritis,-15.6178,-46.4233,69.39,93,25,0.83,BR,2022-02-14 01:46:42
133,Ribeira Grande,38.5167,-28.7,58.08,69,100,3.51,PT,2022-02-14 01:46:43
134,Lata,40.1629,-8.3327,53.82,94,33,3.0,PT,2022-02-14 01:41:58
135,La Orilla,17.9833,-102.2333,76.35,70,85,0.58,MX,2022-02-14 01:46:44
136,Hot Springs,34.5037,-93.0552,47.91,27,0,4.61,US,2022-02-14 01:46:44
137,Provideniya,64.3833,-173.3,-2.09,65,0,6.71,RU,2022-02-14 01:47:45
138,Taoudenni,22.6783,-3.9836,59.5,27,0,11.68,ML,2022-02-14 01:47:45
139,Esperance,-33.8667,121.9,71.44,59,65,11.14,AU,2022-02-14 01:47:46
140,Vila Franca Do Campo,37.7167,-25.4333,58.19,70,100,4.09,PT,2022-02-14 01:47:46
141,Scarborough,54.2797,-0.4044,45.09,88,100,4.0,GB,2022-02-14 01:43:19
142,Bengkulu,-3.8004,102.2655,81.36,71,99,2.77,ID,2022-02-14 01:47:47
143,San Felipe,10.3399,-68.7425,69.8,94,48,4.83,VE,2022-02-14 01:47:48
144,Tuatapere,-46.1333,167.6833,66.81,51,100,5.68,NZ,2022-02-14 01:47:49
145,Arraial Do Cabo,-22.9661,-42.0278,75.43,92,16,15.43,BR,2022-02-14 01:44:52
146,Te Anau,-45.4167,167.7167,68.36,45,100,1.74,NZ,2022-02-14 01:47:49
147,Zhuhai,22.2769,113.5678,64.9,82,20,19.57,CN,2022-02-14 01:47:50
148,Cayenne,4.9333,-52.3333,80.1,85,75,3.0,GF,2022-02-14 01:47:51
149,Carnarvon,-24.8667,113.6333,84.27,74,5,6.91,AU,2022-02-14 01:47:52
150,Isangel,-19.55,169.2667,87.91,70,57,6.91,VU,2022-02-14 01:47:52
151,Along,28.1667,94.7667,52.65,45,0,1.68,IN,2022-02-14 01:47:53
152,Butaritari,3.0707,172.7902,81.12,77,32,12.28,KI,2022-02-14 01:47:53
153,Bandarbeyla,9.4942,50.8122,73.44,74,100,12.55,SO,2022-02-14 01:47:54
154,Khatanga,71.9667,102.5,-27.56,100,52,2.33,RU,2022-02-14 01:47:55
155,Valparaiso,-33.0393,-71.6273,66.47,77,75,5.75,CL,2022-02-14 01:47:55
156,Severnoye,56.3491,78.3619,7.38,96,100,7.99,RU,2022-02-14 01:47:56
157,Kavaratti,10.5669,72.642,80.6,71,0,7.05,IN,2022-02-14 01:43:16
158,Wete,-5.0559,39.7294,76.44,83,35,6.13,TZ,2022-02-14 01:47:57
159,Ponta Delgada,37.7333,-25.6667,58.5,62,75,4.61,PT,2022-02-14 01:47:58
160,Pundaguitan,6.3711,126.1689,80.67,76,99,12.3,PH,2022-02-14 01:47:58
161,Bosaso,11.2842,49.1816,71.46,77,53,2.35,SO,2022-02-14 01:47:59
162,Tasiilaq,65.6145,-37.6368,21.36,91,100,20.71,GL,2022-02-14 01:47:59
163,Paka,4.6374,103.4368,75.13,100,40,2.3,MY,2022-02-14 01:48:00
164,Wanning,18.8003,110.3967,68.36,89,100,10.56,CN,2022-02-14 01:48:00
165,Pokhara,28.2333,83.9833,53.29,49,0,2.39,NP,2022-02-14 01:43:40
166,Longyearbyen,78.2186,15.6401,15.64,92,75,0.0,SJ,2022-02-14 01:48:01
167,Ottumwa,41.02,-92.4113,17.01,65,75,3.44,US,2022-02-14 01:48:02
168,Coquimbo,-29.9533,-71.3436,65.93,72,0,6.91,CL,2022-02-14 01:46:19
169,Guanica,17.9716,-66.908,77.18,78,2,1.99,PR,2022-02-14 01:48:03
170,Luderitz,-26.6481,15.1594,71.06,67,1,9.8,NA,2022-02-14 01:48:03
171,Manzhouli,49.6,117.4333,-10.46,92,73,3.74,CN,2022-02-14 01:48:04
172,Arkhipo-Osipovka,44.37,38.52,35.33,68,100,15.66,RU,2022-02-14 01:48:04
173,Severo-Kurilsk,50.6789,156.125,26.58,67,58,15.75,RU,2022-02-14 01:48:05
174,Chuy,-33.6971,-53.4616,58.44,67,5,7.31,UY,2022-02-14 01:48:06
175,Bredasdorp,-34.5322,20.0403,65.52,72,99,9.22,ZA,2022-02-14 01:48:06
176,Senador Jose Porfirio,-2.5908,-51.9542,74.05,88,100,2.68,BR,2022-02-14 01:48:07
177,Port Elizabeth,-33.918,25.5701,66.49,94,100,10.36,ZA,2022-02-14 01:48:07
178,Pringsewu,-5.3582,104.9744,75.25,93,100,2.21,ID,2022-02-14 01:48:08
179,Port-Gentil,-0.7193,8.7815,80.65,78,100,9.42,GA,2022-02-14 01:48:08
180,Hibbing,47.4272,-92.9377,2.8,53,100,3.44,US,2022-02-14 01:48:09
181,Kodiak,57.79,-152.4072,40.51,60,0,8.05,US,2022-02-14 01:48:09
182,Orlik,52.5178,99.825,-19.75,96,73,2.37,RU,2022-02-14 01:48:10
183,Viseu,40.661,-7.9097,47.53,96,24,2.86,PT,2022-02-14 01:48:11
184,Yar-Sale,66.8333,70.8333,-19.86,99,100,7.25,RU,2022-02-14 01:48:11
185,Sofiyivka,48.0493,33.8746,29.75,56,0,3.53,UA,2022-02-14 01:49:12
186,Rantepao,-2.9701,119.8978,71.83,90,99,0.67,ID,2022-02-14 01:49:12
187,Mpika,-11.8343,31.4529,61.36,99,100,3.15,ZM,2022-02-14 01:49:13
188,Hermanus,-34.4187,19.2345,67.89,79,80,17.87,ZA,2022-02-14 01:49:13
189,Ilebo,-4.3167,20.5833,69.37,97,99,1.39,CD,2022-02-14 01:49:14
190,Hithadhoo,-0.6,73.0833,82.09,74,52,12.8,MV,2022-02-14 01:49:14
191,Pisco,-13.7,-76.2167,69.85,73,0,16.11,PE,2022-02-14 01:49:15
192,Lorengau,-2.0226,147.2712,83.98,73,92,2.86,PG,2022-02-14 01:49:16
193,Mandalgovi,45.7625,106.2708,-4.74,89,62,10.11,MN,2022-02-14 01:46:41
194,Serabu,7.7958,-12.0536,73.98,96,7,2.33,SL,2022-02-14 01:49:17
195,Fortuna,40.5982,-124.1573,62.47,95,100,0.0,US,2022-02-14 01:49:17
196,Vanino,49.0869,140.2543,17.92,74,70,5.77,RU,2022-02-14 01:49:18
197,North Platte,41.1239,-100.7654,49.24,32,0,4.61,US,2022-02-14 01:45:58
198,Husavik,66.0449,-17.3389,8.51,77,95,16.96,IS,2022-02-14 01:49:19
199,Ust-Kuyga,70.0167,135.6,-19.35,97,96,6.38,RU,2022-02-14 01:49:19
